from_id,anbieter,stunde,median_gehzeit,tage_unter_5min,tage_gesamt,anteil_unter_5min,ms_pop
1,Bolt,6,1,24,24,100,597
1,Bolt,7,1,24,24,100,597
1,Bolt,8,1,24,24,100,597
1,Bolt,9,1,24,24,100,597
1,Dott,6,1,22,24,92,597
1,Dott,7,1,23,24,96,597
1,Dott,8,1,22,24,92,597
1,Dott,9,1,21,24,88,597
10,Bolt,6,2,24,24,100,1163
10,Bolt,7,1.5,24,24,100,1163
10,Bolt,8,1.5,24,24,100,1163
10,Bolt,9,2,24,24,100,1163
10,Dott,6,1,24,24,100,1163
10,Dott,7,1,23,24,96,1163
10,Dott,8,1,23,24,96,1163
10,Dott,9,1,23,24,96,1163
100,Bolt,6,1,22,24,92,309
100,Bolt,7,1,22,24,92,309
100,Bolt,8,1,20,24,83,309
100,Bolt,9,2,17,24,71,309
100,Dott,6,2,22,24,92,309
100,Dott,7,2,18,24,75,309
100,Dott,8,2.5,17,24,71,309
100,Dott,9,1,20,23,87,309
100,Villo (cyclocity/JCDecaux),6,2,24,24,100,309
100,Villo (cyclocity/JCDecaux),7,2,24,24,100,309
100,Villo (cyclocity/JCDecaux),8,2,24,24,100,309
100,Villo (cyclocity/JCDecaux),9,2,24,24,100,309
1000,Bolt,6,1,21,23,91,76
1000,Bolt,7,1,21,22,95,76
1000,Bolt,8,1,20,24,83,76
1000,Bolt,9,2,22,24,92,76
1000,Dott,6,1,23,24,96,76
1000,Dott,7,1,21,23,91,76
1000,Dott,8,1,22,24,92,76
1000,Dott,9,1,23,24,96,76
1000,Villo (cyclocity/JCDecaux),6,5,24,24,100,76
1000,Villo (cyclocity/JCDecaux),7,5,24,24,100,76
1000,Villo (cyclocity/JCDecaux),8,5,24,24,100,76
1000,Villo (cyclocity/JCDecaux),9,5,24,24,100,76
1001,Bolt,6,1,21,24,88,25
1001,Bolt,7,1,20,24,83,25
1001,Bolt,8,1,21,24,88,25
1001,Bolt,9,1,19,23,83,25
1001,Dott,6,1,23,24,96,25
1001,Dott,7,1,22,24,92,25
1001,Dott,8,1,22,24,92,25
1001,Dott,9,1,20,24,83,25
1001,Villo (cyclocity/JCDecaux),6,11,0,24,0,25
1001,Villo (cyclocity/JCDecaux),7,11,0,24,0,25
1001,Villo (cyclocity/JCDecaux),8,11,0,24,0,25
1001,Villo (cyclocity/JCDecaux),9,11,0,24,0,25
1002,Bolt,6,1,19,23,83,243
1002,Bolt,7,1,21,22,95,243
1002,Bolt,8,1,21,24,88,243
1002,Bolt,9,1,20,24,83,243
1002,Dott,6,1.5,20,24,83,243
1002,Dott,7,1,23,24,96,243
1002,Dott,8,1,23,24,96,243
1002,Dott,9,1,22,24,92,243
1002,Villo (cyclocity/JCDecaux),6,2,24,24,100,243
1002,Villo (cyclocity/JCDecaux),7,2,24,24,100,243
1002,Villo (cyclocity/JCDecaux),8,2,24,24,100,243
1002,Villo (cyclocity/JCDecaux),9,2,24,24,100,243
1003,Bolt,6,1,20,24,83,148
1003,Bolt,7,1,22,24,92,148
1003,Bolt,8,1,22,24,92,148
1003,Bolt,9,2.5,20,22,91,148
1003,Dott,6,1,23,24,96,148
1003,Dott,7,1,23,24,96,148
1003,Dott,8,1,22,24,92,148
1003,Dott,9,2,19,24,79,148
1003,Villo (cyclocity/JCDecaux),6,3,24,24,100,148
1003,Villo (cyclocity/JCDecaux),7,3,24,24,100,148
1003,Villo (cyclocity/JCDecaux),8,3,24,24,100,148
1003,Villo (cyclocity/JCDecaux),9,3,24,24,100,148
1004,Bolt,6,1,21,23,91,84
1004,Bolt,7,2,20,24,83,84
1004,Bolt,8,1,21,23,91,84
1004,Bolt,9,3,18,23,78,84
1004,Dott,6,1,22,23,96,84
1004,Dott,7,1,23,24,96,84
1004,Dott,8,1,22,24,92,84
1004,Dott,9,2,21,24,88,84
1004,Villo (cyclocity/JCDecaux),6,6,0,24,0,84
1004,Villo (cyclocity/JCDecaux),7,6,0,24,0,84
1004,Villo (cyclocity/JCDecaux),8,6,0,24,0,84
1004,Villo (cyclocity/JCDecaux),9,6,0,24,0,84
1005,Bolt,6,3,19,23,83,243
1005,Bolt,7,1,22,24,92,243
1005,Bolt,8,1,20,24,83,243
1005,Bolt,9,1,20,23,87,243
1005,Dott,6,1,23,24,96,243
1005,Dott,7,1,24,24,100,243
1005,Dott,8,1,20,23,87,243
1005,Dott,9,1,22,24,92,243
1005,Villo (cyclocity/JCDecaux),6,2,24,24,100,243
1005,Villo (cyclocity/JCDecaux),7,2,24,24,100,243
1005,Villo (cyclocity/JCDecaux),8,2,24,24,100,243
1005,Villo (cyclocity/JCDecaux),9,2,24,24,100,243
1006,Bolt,6,1,22,24,92,144
1006,Bolt,7,1,19,22,86,144
1006,Bolt,8,1.5,21,24,88,144
1006,Bolt,9,1.5,18,24,75,144
1006,Dott,6,1,22,24,92,144
1006,Dott,7,1,20,24,83,144
1006,Dott,8,1,21,23,91,144
1006,Dott,9,1,21,23,91,144
1006,Villo (cyclocity/JCDecaux),6,2,24,24,100,144
1006,Villo (cyclocity/JCDecaux),7,2,24,24,100,144
1006,Villo (cyclocity/JCDecaux),8,2,24,24,100,144
1006,Villo (cyclocity/JCDecaux),9,2,24,24,100,144
1007,Bolt,6,1,21,23,91,183
1007,Bolt,7,1,21,24,88,183
1007,Bolt,8,1,22,23,96,183
1007,Bolt,9,1,19,23,83,183
1007,Dott,6,1,23,24,96,183
1007,Dott,7,1,23,24,96,183
1007,Dott,8,1,22,24,92,183
1007,Dott,9,1,23,24,96,183
1007,Villo (cyclocity/JCDecaux),6,5,24,24,100,183
1007,Villo (cyclocity/JCDecaux),7,5,24,24,100,183
1007,Villo (cyclocity/JCDecaux),8,5,24,24,100,183
1007,Villo (cyclocity/JCDecaux),9,5,24,24,100,183
1008,Bolt,6,1,20,23,87,133
1008,Bolt,7,1,20,24,83,133
1008,Bolt,8,2,22,23,96,133
1008,Bolt,9,1,21,24,88,133
1008,Dott,6,1,22,24,92,133
1008,Dott,7,1,24,24,100,133
1008,Dott,8,1,23,24,96,133
1008,Dott,9,1,23,23,100,133
1008,Villo (cyclocity/JCDecaux),6,5,24,24,100,133
1008,Villo (cyclocity/JCDecaux),7,5,24,24,100,133
1008,Villo (cyclocity/JCDecaux),8,5,24,24,100,133
1008,Villo (cyclocity/JCDecaux),9,5,24,24,100,133
1009,Bolt,6,1.5,23,24,96,184
1009,Bolt,7,1,23,24,96,184
1009,Bolt,8,1,19,22,86,184
1009,Bolt,9,1,17,22,77,184
1009,Dott,6,1,23,24,96,184
1009,Dott,7,1.5,21,24,88,184
1009,Dott,8,2,20,24,83,184
1009,Dott,9,1,21,24,88,184
1009,Villo (cyclocity/JCDecaux),6,5,24,24,100,184
1009,Villo (cyclocity/JCDecaux),7,5,24,24,100,184
1009,Villo (cyclocity/JCDecaux),8,5,24,24,100,184
1009,Villo (cyclocity/JCDecaux),9,5,24,24,100,184
101,Bolt,6,1,22,24,92,91
101,Bolt,7,2,19,24,79,91
101,Bolt,8,1,20,24,83,91
101,Bolt,9,2,18,24,75,91
101,Dott,6,2,18,24,75,91
101,Dott,7,1.5,20,24,83,91
101,Dott,8,2,20,24,83,91
101,Dott,9,2,19,24,79,91
1010,Bolt,6,1,19,22,86,46
1010,Bolt,7,1.5,21,24,88,46
1010,Bolt,8,1.5,18,22,82,46
1010,Bolt,9,1,23,23,100,46
1010,Dott,6,1,21,24,88,46
1010,Dott,7,1,23,24,96,46
1010,Dott,8,1,22,23,96,46
1010,Dott,9,1.5,20,24,83,46
1010,Villo (cyclocity/JCDecaux),6,8,0,24,0,46
1010,Villo (cyclocity/JCDecaux),7,8,0,24,0,46
1010,Villo (cyclocity/JCDecaux),8,8,0,24,0,46
1010,Villo (cyclocity/JCDecaux),9,8,0,24,0,46
1011,Bolt,6,1,22,24,92,181
1011,Bolt,7,1,19,23,83,181
1011,Bolt,8,1,22,24,92,181
1011,Bolt,9,1,20,24,83,181
1011,Dott,6,1,23,24,96,181
1011,Dott,7,1,22,23,96,181
1011,Dott,8,1,22,24,92,181
1011,Dott,9,1,24,24,100,181
1011,Villo (cyclocity/JCDecaux),6,7,0,24,0,181
1011,Villo (cyclocity/JCDecaux),7,7,0,24,0,181
1011,Villo (cyclocity/JCDecaux),8,7,0,24,0,181
1011,Villo (cyclocity/JCDecaux),9,7,0,24,0,181
1012,Bolt,6,1,22,24,92,37
1012,Bolt,7,2.5,20,24,83,37
1012,Bolt,8,1,20,22,91,37
1012,Bolt,9,1,23,24,96,37
1012,Dott,6,1,22,22,100,37
1012,Dott,7,1,20,24,83,37
1012,Dott,8,1,23,24,96,37
1012,Dott,9,1,21,23,91,37
1012,Villo (cyclocity/JCDecaux),6,9,0,24,0,37
1012,Villo (cyclocity/JCDecaux),7,9,0,24,0,37
1012,Villo (cyclocity/JCDecaux),8,9,0,24,0,37
1012,Villo (cyclocity/JCDecaux),9,9,0,24,0,37
1013,Bolt,6,1,22,24,92,205
1013,Bolt,7,1,22,24,92,205
1013,Bolt,8,1.5,19,24,79,205
1013,Bolt,9,2,23,24,96,205
1013,Dott,6,1,22,24,92,205
1013,Dott,7,1,24,24,100,205
1013,Dott,8,1,21,24,88,205
1013,Dott,9,1,22,23,96,205
1013,Villo (cyclocity/JCDecaux),6,5,24,24,100,205
1013,Villo (cyclocity/JCDecaux),7,5,24,24,100,205
1013,Villo (cyclocity/JCDecaux),8,5,24,24,100,205
1013,Villo (cyclocity/JCDecaux),9,5,24,24,100,205
1014,Bolt,6,1,21,24,88,229
