"station_id","name","lat","lon","capacity","num_bikes_available","num_docks_available","land","stadt","anbieter","timestamp"
"1","LEOPOLD II",50.836304,4.41505,20,0,20,"BE","Bruessel","Villo (cyclocity/JCDecaux)","2026-06-26 04:02:15"
"2","ELOY",50.836151,4.326019,25,12,13,"BE","Bruessel","Villo (cyclocity/JCDecaux)","2026-06-26 04:02:15"
"3","PORTE DE FLANDRE / VLAAMSEPOORT",50.853203,4.341823,21,17,3,"BE","Bruessel","Villo (cyclocity/JCDecaux)","2026-06-26 04:02:15"
"4","JARDIN AUX FLEURS / BLOEMENHOF",50.847865,4.343521,20,13,7,"BE","Bruessel","Villo (cyclocity/JCDecaux)","2026-06-26 04:02:15"
"5","",50.846755,4.352001,44,0,0,"BE","Bruessel","Villo (cyclocity/JCDecaux)","2026-06-26 04:02:15"
"6","GARE CENTRALE / CENTRAAL STATION",50.845333,4.356475,40,26,13,"BE","Bruessel","Villo (cyclocity/JCDecaux)","2026-06-26 04:02:15"
"7","PARC / PARK",50.846319,4.362244,25,14,9,"BE","Bruessel","Villo (cyclocity/JCDecaux)","2026-06-26 04:02:15"
"8","ARTS-LOI / KUNST-WET",50.845683,4.368582,42,10,29,"BE","Bruessel","Villo (cyclocity/JCDecaux)","2026-06-26 04:02:15"
"9","ANNEESSENS",50.844045,4.345048,35,4,29,"BE","Bruessel","Villo (cyclocity/JCDecaux)","2026-06-26 04:02:15"
"10","CHAPELLE / KAPELLEKERK",50.841345,4.351729,20,1,15,"BE","Bruessel","Villo (cyclocity/JCDecaux)","2026-06-26 04:02:15"
"11","SABLON / ZAVEL",50.840405,4.356998,17,0,17,"BE","Bruessel","Villo (cyclocity/JCDecaux)","2026-06-26 04:02:15"
"12","TRONE / TROON",50.840458,4.365981,32,9,23,"BE","Bruessel","Villo (cyclocity/JCDecaux)","2026-06-26 04:02:15"
"13","LEMONNIER",50.840184,4.341324,25,15,10,"BE","Bruessel","Villo (cyclocity/JCDecaux)","2026-06-26 04:02:15"
"14","PORTE DE NAMUR / NAAMSEPOORT",50.838816,4.361557,42,25,17,"BE","Bruessel","Villo (cyclocity/JCDecaux)","2026-06-26 04:02:15"
"15","MONTGOMERY",50.837036,4.406826,25,10,15,"BE","Bruessel","Villo (cyclocity/JCDecaux)","2026-06-26 04:02:15"
"16","LOUISE / LOUIZA",50.835968,4.355508,40,1,35,"BE","Bruessel","Villo (cyclocity/JCDecaux)","2026-06-26 04:02:15"
"17","COMTE DE FLANDRE / GRAAF VAN VLAANDEREN",50.855358,4.339465,18,15,1,"BE","Bruessel","Villo (cyclocity/JCDecaux)","2026-06-26 04:02:15"
"18","GUTENBERG",50.84771,4.377552,25,12,13,"BE","Bruessel","Villo (cyclocity/JCDecaux)","2026-06-26 04:02:15"
"19","PLACE MORICHAR / MORICHARPLEIN",50.828046,4.347596,20,9,11,"BE","Bruessel","Villo (cyclocity/JCDecaux)","2026-06-26 04:02:15"
"20","PALAIS ROYAL / KONINKLIJK PALEIS",50.843613,4.360628,20,5,14,"BE","Bruessel","Villo (cyclocity/JCDecaux)","2026-06-26 04:02:15"
"21","DE BROUCKERE",50.85223,4.35316,43,30,13,"BE","Bruessel","Villo (cyclocity/JCDecaux)","2026-06-26 04:02:15"
"22","JACQMAIN",50.85587,4.35585,23,15,8,"BE","Bruessel","Villo (cyclocity/JCDecaux)","2026-06-26 04:02:15"
"23","AGORA",50.846331,4.355193,19,2,16,"BE","Bruessel","Villo (cyclocity/JCDecaux)","2026-06-26 04:02:15"
"24","ROGIER",50.855268,4.358717,36,14,21,"BE","Bruessel","Villo (cyclocity/JCDecaux)","2026-06-26 04:02:15"
